ID	beta value	detection p-value	normalized beta value
cg00050873	0.570071258907363	0.0477084018689624	0.624324324324324
cg00212031	0.386486486486486	0.238244008707973	0.440329218106996
cg00213748	0.347826086956522	0.731805661648068	0.403622250970246
cg00214611	0.443037974683544	0.617825100089913	0.507878787878788
cg00455876	0.340619307832423	2.39462643213848e-05	0.390691114245416
cg01707559	0.237983587338804	1.92734765496448e-146	0.277161290322581
cg02004872	0.133394664213431	4.04672220511426e-12	0.171769383697813
cg02011394	0.397590361445783	0.0599639948408483	0.451376146788991
cg02050847	0.252566735112936	0.240358623919072	0.3
cg02233190	0.215429403202329	0.0029883147395297	0.26061320754717
cg02494853	0.0342159168500114	0	0.0465021469687637
cg02839557	0.419161676646707	0.485054448679	0.478857142857143
cg02842889	0.434599156118143	0.283561003966952	0.486356340288925
cg03052502	0.370607028753994	0.639072690587382	0.430147058823529
cg03155755	0.341463414634146	0.0719533103740758	0.393427230046948
cg03244189	0.265267175572519	6.04012013224336e-11	0.313219531560143
cg03443143	0.37621359223301	0.0669538937234803	0.430167597765363
cg03683899	0.343434343434343	0.215668480812101	0.396713615023474
cg03695421	0.252491694352159	0.0300268952164953	0.299736495388669
cg03706273	0.0366732838783826	0	0.0528768795428064
cg03750315	0.423780487804878	0.529870134338728	0.485981308411215
cg03767353	0.439873417721519	0.617825100089913	0.50546780072904
cg04016144	0.48469387755102	0.130474429950913	0.539789069990412
cg04023335	0.0989721485411141	0	0.121928565397281
cg04042030	0.120588235294118	0.7873109094578	0.053577571379429
cg04303809	0.36013986013986	0.0577654858416212	0.410013531799729
cg04448376	0.354609929078014	0.0441006856627641	0.407441016333938
cg04462340	0.857372654155496	1.01165212549959e-181	0.836970474967908
cg04689676	0.127814972611077	2.94012810734569e-36	0.167164179104478
cg04792227	0.32640586797066	4.28854755519359e-20	0.373287671232877
cg04840163	0.295620437956204	0.861410774141155	0.33625730994152
cg04964672	0.648141715873567	0	0.633201450708869
cg05213048	0.563735752500581	0	0.569617374495423
cg05230942	0.296969696969697	0.00112927015607365	0.347551342812006
cg05480730	0.405189620758483	0.198156831830393	0.458715596330275
cg05544622	0.403553299492386	0.122694322803199	0.456730769230769
cg05621349	0.268041237113402	0.778806912365174	0.299310344827586
cg05865243	0.435261707988981	0.28068375605784	0.491649269311065
cg05890011	0.313291139240506	0.617825100089913	0.358467243510507
cg06322277	0.240896358543417	0.319750585030095	0.274860335195531
cg06479204	0.37160751565762	0.266513156739019	0.424899598393574
cg07731488	0.31830985915493	0.740157838383159	0.372972972972973
cg07747963	0.42032967032967	0.709476517895358	0.476041666666667
cg07939587	0.376190476190476	0.0495988992417382	0.429744525547445
cg08242338	0.46319018404908	0.544752868962945	0.531139835487662
cg08265308	0.26008064516129	0.00106072878034536	0.307448494453249
cg08921682	0.275773195876289	0.147041233690536	0.326326326326326
cg09350919	0.365079365079365	0.194385224777342	0.418181818181818
cg09460641	0.21259842519685	0.179294547397996	0.24364406779661
cg09856092	0.265017667844523	0.820705452602003	0.30028328611898
cg10076560	0.34375	0.263166860237104	0.396774193548387
cg10213302	0.597765363128492	6.13044712602445e-05	0.633451957295374
cg10252249	0.592039800995025	0.0948427907901419	0.648725212464589
cg10267609	0.297052154195011	0.0205654450476656	0.348364279398762
cg10363397	0.343589743589744	0.138589225858845	0.397828232971372
cg10698069	0.454945054945055	0.352669385837413	0.506644518272425
cg10841270	0.410569105691057	0.00135996271693314	0.463509316770186
cg11131351	0.367213114754098	0.693525365473811	0.42964824120603
cg13268984	0.203470031545741	0.0136422149949255	0.246976448122215
cg13851368	0.404761904761905	8.06535767285675e-06	0.442170395049976
cg14180491	0.414779499404052	8.44661981813513e-06	0.450737743931461
cg14210405	0.261363636363636	6.61561647668849e-05	0.310748853795211
cg14466580	0.247813411078717	0.41835858701166	0.279859484777518
cg14741114	0.381526104417671	0.206802936351461	0.434749034749035
cg15027426	0.207667731629393	5.06464169442192e-08	0.256205673758865
cg15295597	0.0301353013530135	0	0.045166921230635
cg15329860	0.370434782608696	0.0543051972430013	0.41974479516454
cg15345074	0.321243523316062	0.155832115597376	0.375
cg15422579	0.354198473282443	0.00771693198738149	0.401673640167364
cg15429127	0.532627865961199	0.0639151385059652	0.572684246112238
cg15563434	0.272479564032698	0.698885369163111	0.314715359828142
cg15682806	0.29264475743349	0.0119565645271983	0.341553637484587
cg15682993	0.270053475935829	0.215668480812101	0.315513626834382
cg15746461	0.381930184804928	0.240358623919072	0.434885556432518
cg15810474	0.262886597938144	0.147041233690536	0.310728744939271
cg15935877	0.173310225303293	2.21321303133258e-06	0.206774876499647
cg17834650	0.491561181434599	0.283561003966952	0.538707102952913
cg17837162	0.318385650224215	0.979434554952334	0.371376811594203
cg18032798	0.0078740157480315	0.928046689625924	0.313568985176739
cg18077436	0.319488817891374	0.639072690587382	0.365792759051186
cg18188392	0.245657568238213	3.66690455082873e-05	0.295717884130982
cg25032547	0.421875	2.11868697377712e-26	0.455240665766982
cg25071634	0.430335097001764	5.34003527340044e-06	0.4785568413887
cg25427172	0.282958199356913	0.653007513418497	0.318414322250639
cg25518695	0.415954415954416	0.360927309412618	0.47237269772481
